feature,abs(w*x),w*x,x,w
tied ,0.000666519,-0.000666519,1,-0.000666519
three ,0.000666519,-0.000666519,1,-0.000666519
responses ,0.000666519,-0.000666519,1,-0.000666519
than ,0.000666519,0.000666519,1,0.000666519
just ,0.000444346,0.000444346,1,0.000444346
jan ,0.000444346,0.000444346,1,0.000444346
intriguing ,0.000444346,0.000444346,1,0.000444346
occur ,0.000444346,-0.000444346,1,-0.000444346
obtained ,0.000444346,-0.000444346,1,-0.000444346
managed ,0.000444346,-0.000444346,1,-0.000444346
crimes ,0.000444346,0.000444346,2,0.000222173
cooperation ,0.000444346,-0.000444346,1,-0.000444346
centers ,0.000444346,0.000444346,1,0.000444346
i ,0.000444346,0.000444346,1,0.000444346
third ,0.000222173,0.000222173,1,0.000222173
mental ,0.000222173,0.000222173,1,0.000222173
avoid ,0.000222173,-0.000222173,1,-0.000222173
opinion ,0.000222173,0.000222173,1,0.000222173
sunshine ,0.000222173,0.000222173,1,0.000222173
ronald ,0.000222173,0.000222173,1,0.000222173
1945,0.000222173,-0.000222173,1,-0.000222173
quick ,0.000222173,0.000222173,1,0.000222173
having ,0.000222173,-0.000222173,1,-0.000222173
government ,0.000222173,-0.000222173,1,-0.000222173
location ,1.95E-16,1.95E-16,1,1.95E-16
clues ,1.17E-16,1.17E-16,1,1.17E-16
orchestra ,8.54E-17,-8.54E-17,4,-2.14E-17
noticing ,4.82E-17,4.82E-17,1,4.82E-17
reigns ,4.60E-17,4.60E-17,1,4.60E-17
windows ,1.36E-17,-1.36E-17,1,-1.36E-17
conducted ,3.26E-18,3.26E-18,1,3.26E-18
wilhelm ,0,0,2,0
tues ,0,0,1,0
szabo's ,0,0,2,0
sameness ,0,0,1,0
regimes ,0,0,1,0
prosecute ,0,0,1,0
postwar ,0,0,1,0
peculiarities ,0,0,1,0
maj ,0,0,1,0
istvan ,0,0,1,0
harwood's ,0,0,1,0
furtwangler ,0,0,8,0
europe's ,0,0,1,0
dramatization ,0,0,1,0
cooperated ,0,0,1,0
communists ,0,0,1,0
calculation ,0,0,1,0
aristocrats ,0,0,1,0
ambiguously ,0,0,1,0
almanac ,0,0,1,0
1951,0,0,1,0
1946,0,0,1,0
